Material ID,Formula,Chemical System,Density,Volume,Number of Sites,Number of Elements,Crystal System,Space Group Number,Mean Atomic Mass,Volume per Atom
mp-600051,SiO2,Si-O,1.8108208709613665,1322.3482787768937,72,2,Orthorhombic,64,20.028100000000002,18.365948316345747
mp-600052,SiO2,Si-O,1.9067717923713712,1046.5051767377715,60,2,Orthorhombic,63,20.028100000000002,17.441752945629524
mp-600053,SiO2,Si-O,1.7002889442386242,1643.0296636756882,84,2,Orthorhombic,59,20.028100000000002,19.5598769485201
mp-600054,SiO2,Si-O,1.4923010706945412,4278.914684464813,192,2,Tetragonal,91,20.0281,22.28601398158757
mp-600055,SiO2,Si-O,1.7395458729643734,1605.9508493692322,84,2,Orthorhombic,38,20.028100000000002,19.11846249249086
mp-600057,SiO2,Si-O,1.711744162289551,1398.8865361084195,72,2,Orthorhombic,74,20.028100000000002,19.42897966817249
mp-600059,SiO2,Si-O,1.9873424982774288,853.466159108571,51,2,Tetragonal,81,20.0281,16.734630570756295
mp-600060,SiO2,Si-O,1.729665882390115,2768.7842909639658,144,2,Orthorhombic,62,20.028100000000002,19.22766868724976
mp-600061,SiO2,Si-O,1.7535984729412415,1365.4983731097677,72,2,Orthorhombic,51,20.028100000000002,18.965255182080107
mp-600063,SiO2,Si-O,1.7139644548088406,1397.0743997465818,72,2,Orthorhombic,63,20.028100000000002,19.403811107591412
mp-600065,SiO2,Si-O,1.9669936687326732,1217.3581948699555,72,2,Orthorhombic,64,20.028100000000002,16.90775270652716
mp-600067,SiO2,Si-O,1.3724296346377667,2035.532534198896,84,2,Tetragonal,119,20.028100000000002,24.232530169034476
mp-600068,SiO2,Si-O,1.6069094977510427,1241.791497509309,60,2,Orthorhombic,66,20.028100000000002,20.696524958488485
mp-600070,SiO2,Si-O,1.723411257794827,1852.5551971871892,96,2,Orthorhombic,57,20.0281,19.297449970699887
mp-600071,SiO2,Si-O,1.8039983529978758,663.6746252871601,36,2,Orthorhombic,42,20.028100000000002,18.43540625797667
mp-600072,SiO2,Si-O,1.4768376509975694,3242.788210703574,144,2,Tetragonal,129,20.028100000000002,22.519362574330373
mp-600076,SiO2,Si-O,1.8703282015846519,2133.7929352544,120,2,Tetragonal,126,20.028100000000002,17.78160779378667
mp-600078,SiO2,Si-O,1.6299286326585345,1101.828546620185,54,2,Tetragonal,141,20.0281,20.404232344818244
mp-600080,SiO2,Si-O,1.4590351261464467,4376.473774077263,192,2,Tetragonal,131,20.0281,22.79413423998575
mp-600083,SiO2,Si-O,1.6444918960591979,3640.2366403069836,180,2,Orthorhombic,59,20.0281,20.223536890594353
mp-600084,SiO2,Si-O,1.8422238392115031,1733.0763040637034,96,2,Orthorhombic,72,20.0281,18.052878167330245
mp-600085,SiO2,Si-O,1.4805262888966166,2156.4726722266673,96,2,Tetragonal,139,20.0281,22.463257002361118
mp-600091,SiO2,Si-O,1.7593398885273765,1020.7816625586802,54,2,Orthorhombic,44,20.0281,18.90336412145704
mp-600096,SiO2,Si-O,0.8285915695425691,2889.8868271263755,72,2,Cubic,217,20.028100000000002,40.13731704342188
mp-600098,SiO2,Si-O,1.5991868531330726,1996.4611866735024,96,2,Orthorhombic,63,20.0281,20.79647069451565
mp-600109,SiO2,Si-O,1.7121864680210195,3496.3129113160967,180,2,Tetragonal,138,20.0281,19.42396061842276
mp-600111,SiO2,Si-O,1.613272253889742,1979.030182178365,96,2,Orthorhombic,63,20.0281,20.614897731024637
